product_name,brands,categories,energy_kj,saturated_fat_g,sugars_g,salt_g,proteins_g,fiber_g,fruit_veg_pct,nutri_score_value,nutri_score_label,green_score_value,ecoscore_grade,url,wsm_score,wsm_class
Tasty Wholemeal Medium,Hovis,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads",920.0,0.5,4.0,0.888,10.0,6.75,0.0,-1,A,67,B,https://world.openfoodfacts.org/product/5010003000339,77.222,B
50/50 Medium Bread,Kingsmill,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads",982.0,1.0,8.75,0.95,9.5,11.8,0.0,0,A,67,B,https://world.openfoodfacts.org/product/5010092093441,76.111,B
Grilletines blé complet,"Brioche Pasquier, Pasquier","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rusks,Toasts,Toasted bread rolls",1760.0,2.0,7.3,0.87,13.0,6.7,0.0,8,C,79,A,https://world.openfoodfacts.org/product/3182180002115,77.778,A
Harrys beau & bon pain de mie farine de ble cereales & graines 320g,Harrys,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Frozen foods,Breads,Sliced breads,White breads,Bread white from wheat flour of the highest grade GOST 26987-86,Frozen breads,Multigrain sliced breads",1206.0,0.7,3.5,1.0,12.0,6.0,5.125,1,B,80,A,https://world.openfoodfacts.org/product/3228857001194,80.0,A
Ryvita Multigrain Crispbread,RYVITA,"plant-based-foods-and-beverages, plant-based-foods, snacks, cereals-and-potatoes, salty-snacks, appetizers, breads, da:crackers, plain-salty-snacks",1480.0,0.952,3.81,0.571,12.4,17.1,0.0,-3,A,72,B,https://world.openfoodfacts.org/product/5050974505259,79.444,A
Italian Original Breadsticks,Tesco,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Breadsticks",1748.0,1.4,2.8,1.8,11.2,2.8,0.0,14,D,87,A,https://world.openfoodfacts.org/product/5018374285577,70.0,B
Tartines de Pain Blé Complet,Brioche Pasquier,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Biscottes,Pains grillés,Pain-grille-complet",1615.0,0.8,4.2,1.5,13.0,8.7,0.0,7,C,80,A,https://world.openfoodfacts.org/product/3182180060320,78.889,A
Pain AMS complet,Harrys,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de mie, Pains complets, Pains de mie complet",1100.0,0.4,4.9,1.2,7.7,7.2,3.257575758,2,B,85,A,https://world.openfoodfacts.org/product/3228857000906,78.889,A
Heudebert Fibre +,Heudebert,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rusks,Toasts,Multigrain rusks,Wholemeal rusks",1618.0,2.2,5.4,1.1,15.0,12.0,0.0,7,C,79,A,https://world.openfoodfacts.org/product/3017760363990,80.0,A
Pain de mie complet,Ekmek,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de mie, Pains complets, Pains de mie complet",975.0,0.12,3.8,1.05,8.0,5.0,0.0,3,C,75,A,https://world.openfoodfacts.org/product/6111246910023,77.778,A
Tartines céréales 450g,La Boulangère,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Snacks sucrés,en:Sweet pastries and pies,Pains,Viennoiseries,Pains de mie,Pains de mie aux céréales",1249.0,1.0,2.9,1.1,10.0,5.8,0.0,1,B,75,A,https://world.openfoodfacts.org/product/3760049796384,80.0,A
Pain de mie grandes tranches Toastiligne céréales & graines 500g,La Boulangère,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains de mie,Pains de mie aux céréales",1056.0,0.4,3.8,1.0,11.0,5.9,0.0,1,B,80,A,https://world.openfoodfacts.org/product/3760049795479,80.0,A
Soft White Medium Bread,Hovis,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, White breads, Sliced-white-bread",972.0,0.25,3.5,0.887,8.75,2.5,0.0,4,C,77,A,https://world.openfoodfacts.org/product/5010003000131,76.667,B
Pain de mie grandes tranches 7 cereales,Maître Jean Pierre,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains de mie,Pains de mie aux céréales,en:Pain de mie",1214.0,1.0,3.4,1.0,10.4,5.0,0.0,1,B,75,A,https://world.openfoodfacts.org/product/4056489235798,80.0,A
Wraps,Old El Paso,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Flatbreads,White breads,Wheat breads,Wheat flatbreads",1264.0,1.2,2.1,1.0,9.1,1.6,0.0,5,C,76,A,https://world.openfoodfacts.org/product/8410076472953,75.556,B
NYC BAGEL Sesame,NEW YORK BAKERY,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Special breads, Bagel breads",1310.0,0.0,0.0,0.0,12.9,0.0,0.0,-2,A,82,A,https://world.openfoodfacts.org/product/5020364010151,83.333,A
Biscottes sans sel et sans sucre ajoutés,Pasquier,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Surgelés,en:Specific products,en:Products for specific diets,Pains,Produits à teneur réduite en sel,Biscottes,Biscottes sans sel",1635.0,0.5,2.2,0.02,15.0,7.0,0.0,-6,A,76,A,https://world.openfoodfacts.org/product/3182189999805,87.778,A
Pain de mie american sandwich rustique sans sucres ajoutés 500g,Harry's,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains de mie",1233.0,0.8,3.0,1.0,11.0,8.7,2.05,-2,A,79,A,https://world.openfoodfacts.org/product/3228857002245,83.333,A
Biscottes,"Heudebert,Lu,Mondelez","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rusks,Common wheat rusks",698.0,1.4,2.8,0.47,4.6,1.4,0.0,4,C,79,A,https://world.openfoodfacts.org/product/7622210416681,76.667,B
La Biscotte 96% de céréales,Heudebert,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rusks",1722.0,3.4,6.8,1.2,11.0,3.6,0.0,13,D,75,A,https://world.openfoodfacts.org/product/7622210416629,71.111,B
Extra moelleux nature,HARRYS,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de mie, Pains de mie blancs nature",1202.0,0.5,6.5,1.18,8.1,5.0,0.92125,4,C,83,A,https://world.openfoodfacts.org/product/3228857000883,76.667,B
Maxi Tranches Sans sucre ajouté Nature,Jacquet,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains de mie",1054.0,0.3,4.5,1.1,8.3,3.4,0.0,5,C,83,A,https://world.openfoodfacts.org/product/3029330022411,75.556,B
Grilletine Sans sucres ajoutés Blé complet,Pasquier,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Pains,Pains grillés,Petits pains grillés",1690.0,2.4,2.1,0.9,13.0,12.7,0.0,6,C,85,A,https://world.openfoodfacts.org/product/3182180002542,80.0,A
Cinnamon & Raisin Bagels,New York Bakery Co,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads,Bagel breads",1140.0,0.235,10.4,0.568,9.18,5.18,6.284,3,C,87,A,https://world.openfoodfacts.org/product/5020364010144,77.778,A
Farmhouse Soft Bread,Warburtons,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,White breads,Sliced breads",1020.0,0.468,2.11,0.966,8.9,2.34,0.0,4,C,67,B,https://world.openfoodfacts.org/product/5010044002378,71.667,B
"Maestro Cereale avec du Levain, Millet et Quinoa",Schär,"Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Cereais e Batatas,en:Specific products,en:Products for specific diets,Pães,Produtos sem glútem,Pães especiais,Pães sem glúten,Pães de forma",1040.0,0.8,4.0,0.94,4.4,10.0,0.15,2,B,75,A,https://world.openfoodfacts.org/product/8008698007389,78.889,A
Beau & bon pain de mie complet lin tournesol 320g,Harrys,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains de mie,Pains complets,Pains de mie complet, Surgelés, Pains surgelés",1273.0,1.0,3.5,0.9,11.0,7.0,0.55,0,A,73,B,https://world.openfoodfacts.org/product/3228857001101,76.111,B
Pain de mie grandes tranches Avoine & Graines 500g,La BOULANGÈRE,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains de mie,Pain de mie à la farine d'avoine,Pain de mie à la farine de blé,Pains de mie aux céréales",1150.0,1.0,2.2,0.93,12.0,6.0,0.0,0,A,71,B,https://world.openfoodfacts.org/product/3760049798845,76.111,B
Maestro Classic,Schär,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,en:Specific products,en:Products for specific diets,Pains,Produits sans gluten,Pains sans gluten,Pains de mie",972.0,0.4,3.2,0.98,3.6,8.0,0.0,0,A,70,B,https://world.openfoodfacts.org/product/8008698005576,76.111,B
Biscottes Pleine vie Sans sel ajouté,"Heudebert, Lu, Mondelez","Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Specific products, Products for specific diets, Breads, Products with reduced salt, Rusks, fr:biscottes-pauvres-en-sel, en:rusks-without-salt",1719.0,2.7,4.8,0.01,12.0,3.7,0.0,3,C,75,A,https://world.openfoodfacts.org/product/3392460481114,77.778,A
Penne Rigate N°73,Barilla,"Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Cereais e Batatas,Cereais e seus produtos,Massa alimentícia,en:Cereal pastas,Massas secas,en:Durum wheat pasta,en:Dry durum wheat pasta,Penne,Penne Rigate",1521.0,0.5,3.5,0.01,13.0,3.0,0.0,0,A,73,B,https://world.openfoodfacts.org/product/8076802085738,76.111,B
Barilla Penne Rigate Fullkorn 500g,Barilla,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Cereal pastas,Dry pastas,Durum wheat pasta,Dried wholemeal pasta,Spaghetti,Whole durum wheat pasta,Durum wheat penne,Durum wheat spaghetti,Penne,Penne rigate",1466.0,0.5,3.5,0.01,13.0,8.0,0.0,-5,A,82,A,https://world.openfoodfacts.org/product/8076809529433,86.667,A
Chicken Flavour,Yum Yum,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Fertiggerichte,Getreideprodukte,Getrocknete Produkte,Teigwaren,Suppen,Getrocknete Produkte zur Rehydrierung,Nudeln,Getrocknete Fertiggerichte,Instant-Nudeln,Instantsuppen,Instant Nudelsuppen",332.0,1.6,0.4,0.8,1.3,1.6,2.3,4,C,39,D,https://world.openfoodfacts.org/product/8852018101024,61.667,C
Pâtes spaghetti au blé complet integral 500g,Barilla,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreideprodukte,Teigwaren,en:Cereal pastas,Getrocknete Teigwaren,Hartweizenteigwaren,Spaghettis,en:Whole durum wheat pasta,en:Dry durum wheat pasta,Hartweizenspaghetti,Vollkorn-Hartweizenspaghetti,Vollkorn Hartweizen",1466.0,0.5,3.5,0.01,13.0,8.0,0.0,-5,A,60,B,https://world.openfoodfacts.org/product/8076809529419,81.667,A
Lasagne all'uovo,Barilla,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Cereales y derivados,Pastas alimenticias,en:Cereal pastas,Pasta seca,Pasta de trigo duro,Pasta de huevo,en:Dry egg pastas,en:Lasagna sheets,fr:Lasagnes à garnir aux œufs",1558.0,1.0,3.0,0.08,14.0,3.0,0.0,-1,A,75,A,https://world.openfoodfacts.org/product/8076800376999,82.222,A
Tortellini ricotta & épinards,"Giovanni Rana, Rana","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Plats préparés, Plats à base de pâtes, Pâtes alimentaires, Pâtes farcies, Pâtes fraîches, Tortellini, Pâtes fraîches farcies au fromage et aux légumes",1081.0,2.5,5.6,1.1,9.0,5.5,20.01367188,8,C,55,C,https://world.openfoodfacts.org/product/8001665714372,65.556,C
Pâtes spaghetti n°5 1kg,Barilla,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Cereal pastas,Dry pastas,Durum wheat pasta,Spaghetti,Dry durum wheat pasta,Durum wheat spaghetti,Food",1521.0,0.5,3.5,0.01,13.0,3.0,0.0,0,A,73,B,https://world.openfoodfacts.org/product/8076800105056,76.111,B
Spaghetti Senza Glutine,Barilla,"Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereali e i loro prodotti, en:Specific products, Pasta, en:Products for specific diets, Prodotti senza glutine, Pasta secca, Pasta senza glutine, en:Gluten-free dry pasta, Spaghetti, Spaghetti senza glutine",1498.0,0.3,0.5,0.01,6.5,1.1,0.0,2,B,79,A,https://world.openfoodfacts.org/product/8076809545440,78.889,A
SHIN RAMYUN NOODLE,NONGSHIM,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Dried products,Meals,Pastas,Dried products to be rehydrated,Noodles,Soups,Instant noodles,Instant noodle soups",1786.0,6.7,2.6,3.7,8.6,0.0,0.008056641,29,E,43,D,https://world.openfoodfacts.org/product/8801043150620,37.222,E
Le Ravioli pur boeuf,Panzani,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Céréales et pommes de terre, Viandes et dérivés, Céréales et dérivés, Plats préparés, Plats à base de pâtes, Pâtes alimentaires, Plats préparés à la viande, Pâtes farcies, Plats au bœuf, Pâtes farcies à la viande, Ravioli, Plats préparés en conserve, Ravioli à la viande, Raviolis au bœuf, Ravioli en conserve, Raviolis à la viande en conserve",384.0,0.8,1.4,0.75,3.8,1.6,8.473557692,3,C,68,B,https://world.openfoodfacts.org/product/3038352880305,72.778,B
Penne Rigate Senza Glutine,Barilla,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,en:Specific products,Pâtes alimentaires,en:Products for specific diets,Produits sans gluten,Pâtes sèches,Pâtes alimentaires sans gluten,Pâtes sèches sans gluten,Penne Rigate sans gluten,Penne,Penne rigate",1498.0,0.3,0.5,0.01,6.5,1.1,0.0,2,B,79,A,https://world.openfoodfacts.org/product/8076809545457,78.889,A
Spaghetti n° 12,De Cecco,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Cereales y derivados,Pastas alimenticias,en:Cereal pastas,Pasta seca,Pasta de trigo duro,Espaguetis,en:Dry durum wheat pasta,Espaguetis de trigo duro",1490.0,0.3,3.4,0.0,14.0,2.9,0.0,-1,A,67,B,https://world.openfoodfacts.org/product/8001250120120,77.222,B
WHOLEWHEAT FUSILLI,TESCO,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Cereal pastas,Dry pastas,Durum wheat pasta,Whole durum wheat pasta,Dried wholemeal pasta,Fusilli",607.0,0.1,0.7,0.02,5.7,3.9,0.0,-2,A,74,B,https://world.openfoodfacts.org/product/5000119319906,78.333,A
Capellini (Spagetti) Nr. 1,Barilla,"Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereali e i loro prodotti, Pasta, Paste alimentari di cereali, Pasta secca, Pasta di grano duro, Spaghetti, Capellini, en:Dry durum wheat pasta",1521.0,0.5,3.5,0.01,13.0,3.0,0.0,0,A,80,A,https://world.openfoodfacts.org/product/8076800195019,81.111,A
Penne Rigate,Barilla,"Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereali e i loro prodotti, Pasta, Paste alimentari di cereali, Pasta secca, Pasta di grano duro, en:Dry durum wheat pasta, Penne, Penne Rigate",1521.0,0.5,3.5,0.01,13.0,3.0,0.0,0,A,73,B,https://world.openfoodfacts.org/product/8076800105735,76.111,B
GIRASOLI RICOTTA EPINARD,Lustucru Lustucru selection,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Plats préparés, Plats à base de pâtes, Pâtes alimentaires, Pâtes farcies, Pâtes fraîches, Ravioli, en:Pates farcies aux légumes, en:Plats préparés, en:Plats à base de pâtes, en:Pâtes farcies, en:Pâtes farcies au fromage, en:Pâtes fraîches farcies au fromage et aux légumes, Pâtes fraîches farcies au fromage et aux légumes",1024.0,4.0,3.6,1.1,8.1,2.9,20.03406283,12,D,62,B,https://world.openfoodfacts.org/product/3240931545264,66.111,C
Spinach Ricotta Tortelloni,Sainsbury's,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Meals, Pasta dishes, Pastas, Stuffed pastas, Egg pastas, Fresh pasta, Pasta stuffed with vegetables, Fresh egg pasta, Fresh pasta stuffed with vegetables, Pasta stuffed with cheese, Tortellini, Cooked fresh pasta stuffed with cheese and vegetables, Fresh pasta stuffed with cheese, Tortellini ricotta & spinach, Tortelloni",857.0,1.4,1.73,0.44,7.93,2.13,9.0,2,B,54,C,https://world.openfoodfacts.org/product/00336789,68.889,C
Lasagne,"Barilla, Barilla Collezione, Barilla norge","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Getreide und Kartoffeln, Getreideprodukte, Teigwaren, en:Cereal pastas, Getrocknete Teigwaren, Hartweizenteigwaren, en:Lasagna sheets, en:Dry durum wheat pasta, en:Food",1502.0,0.5,3.5,0.01,13.0,3.0,0.0,0,A,72,B,https://world.openfoodfacts.org/product/8076809523738,76.111,B
Fusilli n°34,De Cecco,"Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereali e i loro prodotti, Pasta, Paste alimentari di cereali, Pasta secca, Pasta di grano duro, Fusilli, en:Dry durum wheat pasta, es:Fusilli de trigo duro",1490.0,0.3,3.4,0.0,14.0,2.9,0.0,-1,A,67,B,https://world.openfoodfacts.org/product/8001250120342,77.222,B
YumYum Beef,Yum Yum,"Plant-based foods and beverages,Plant-based foods,Meals,Dried products,Pastas,Soups,Dried products to be rehydrated,Noodles,Dried meals,Instant noodles,Chinese noodles,Dehydrated soups,Instant noodle soups,Flavoured Asian noodles,Flavoured dehydrated Asian noodles,Vegan",318.0,1.8,0.7,0.75,1.2,0.6,0.6775,4,C,62,B,https://world.openfoodfacts.org/product/8852018101017,71.667,B
Ramen soja caramel,Tanoshi,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Produits déshydratés,Pâtes alimentaires,Produits lyophilisés à reconstituer,Nouilles,Nouilles instantanées",222.0,0.1,0.8,0.51,1.8,0.5,0.2175,2,B,67,B,https://world.openfoodfacts.org/product/3229820181363,73.889,B
mushroom & mascarpone tortelloni,Rana,"Plant-based foods and beverages,Plant-based foods,Meals,Pasta dishes,Pastas,Stuffed pastas,Fresh pasta,Pasta stuffed with vegetables,Pasta stuffed with cheese,Tortellini,Fresh pasta stuffed with cheese,Fresh pasta stuffed with mushrooms",1300.0,4.0,1.6,0.8,9.6,2.4,5.1,6,C,62,B,https://world.openfoodfacts.org/product/8001665705066,69.444,C
Girandole Torsades N° 34,"Barilla, Barilla norge","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Getreide und Kartoffeln, Getreideprodukte, Teigwaren, en:Cereal pastas, Nudeln, Getrocknete Teigwaren, Hartweizenteigwaren, en:Dry durum wheat pasta",1521.0,0.5,3.5,0.01,13.0,3.0,0.0,0,A,73,B,https://world.openfoodfacts.org/product/8076809512268,76.111,B
Pâtes spaghettoni n°7 500g,"166, 43122 Parma - Italy, Barilla, Barilla - Barilla G. e R. Fratelli - Società per Azioni - Via Mantova, 166 Barilla","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires, Pâtes alimentaires de céréales, Pâtes sèches, Pâtes de blé dur, Spaghetti, Pâtes de blé dur sèches",1521.0,0.5,3.5,0.01,13.0,3.0,0.0,0,A,60,B,https://world.openfoodfacts.org/product/8076808150072,76.111,B
Soba classic,NISSIN,"pflanzliche-lebensmittel-und-getränke, pflanzliche-lebensmittel, getrocknete-produkte, fertiggerichte, nudelgerichte, teigwaren, getrocknete-produkte-zur-rehydrierung, nudeln, instant-nudeln, fertignudeln, en:instant-soba, soba, de:chinesische-nudeln, de:fertiggerichte, de:fertignudeln, de:getreide-und-kartoffeln, de:getreideprodukte, de:getrocknete-produkte, de:getrocknete-produkte-zur-rehydrierung, de:instant-nudeln, de:nudelgerichte, de:nudeln, de:pflanzliche-lebensmittel, en:pflanzliche-lebensmittel-und-getränke, de:teigwaren",916.0,4.5,4.7,2.0,5.3,0.0,5.2,16,D,57,C,https://world.openfoodfacts.org/product/5997523313111,55.556,D
Panzani spaghetti 500g,"Ebro Foods, Panzani","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires, Pâtes alimentaires de céréales, Pâtes sèches, Pâtes de blé dur, Spaghetti, Pâtes de blé dur sèches, Spaghettis de blé dur",1531.0,0.4,3.7,0.0,12.0,3.6,0.0,0,A,73,B,https://world.openfoodfacts.org/product/3038350015006,76.111,B
Demae Ramen - Chicken,Nissin,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Dried products, Meals, Pastas, Dried products to be rehydrated, Noodles, Dried meals, Instant noodles",380.0,2.0,0.4,1.1,2.0,0.0,0.0375,7,C,63,B,https://world.openfoodfacts.org/product/8712429350100,68.333,C
Linguine- Pâtes alimentaires de semoule et de blé dur 500G,Barilla,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Pâtes alimentaires,Pâtes alimentaires de céréales,Pâtes sèches,Pâtes de blé dur,Pâtes sèches au blé complet,Spaghetti,Pâtes de blé dur complet,Linguine",1466.0,0.5,3.5,0.01,13.0,8.0,0.0,-5,A,76,A,https://world.openfoodfacts.org/product/8076809578363,86.667,A
Penne Rigate Nudeln,Combino,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Pastas, Cereal pastas, Dry pastas, Durum wheat pasta, Dry durum wheat pasta, Penne, Penne rigate",1502.0,0.8,3.0,0.03,12.0,3.0,0.0,0,A,67,B,https://world.openfoodfacts.org/product/4013159604551,76.111,B
coquillette,Barilla,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Pâtes alimentaires,Pâtes alimentaires de céréales,Pâtes sèches,Pâtes de blé dur,Pâtes sèches au blé complet,Coquillettes,Pâtes de blé dur complet",1466.0,0.5,3.5,0.01,13.0,8.0,0.0,-5,A,77,A,https://world.openfoodfacts.org/product/8076809532709,86.667,A
"Soupe Thai  (Nouilles, champignons et pousses de soja)  د تای سوپ","Knorr, Unilever","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Plats préparés,Produits déshydratés,Produits lyophilisés à reconstituer,Soupes,Plats préparés déshydratés,Soupes de légumes,Soupes déshydratées,Soupes de nouilles instantanées",155.0,0.6,1.6,0.8,1.0,0.5,8.4921875,3,C,37,D,https://world.openfoodfacts.org/product/8722700027775,62.778,C
Ravioli boeuf,"Lustucru, Lustucru selection","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Viandes et dérivés, Céréales et dérivés, Plats préparés, Plats à base de pâtes, Pâtes alimentaires, Plats préparés à la viande, Pâtes farcies, Plats au bœuf, Pâtes fraîches, Pâtes farcies à la viande, Ravioli, Pâtes fraîches farcies à la viande, Ravioli à la viande, Raviolis au bœuf, Pâtes fraîches cuites farcies à la viande",1111.0,2.0,3.8,1.0,9.0,2.4,12.9,6,C,16,E,https://world.openfoodfacts.org/product/3240930116120,54.444,D
